Ligand_SMILES,IC50 (nM)
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1cccc(I)c1)C(O)=O)C(O)=O,443
NCCCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,498
OC(=O)C(Cc1cccc(O)c1)CP(O)(O)=O,508
CC(C)C[C@@H](OC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,531
Cc1oc(=O)oc1CONC(=O)CCC(Cc1ccc(cc1)C(O)=O)C(O)=O,540
NCCCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,547
NCCCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,547
NCCCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,547
OC(=O)C(Cc1ccccc1)CP(O)(O)=O,548
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](CC[C@]34C)OP([O-])(=O)N[C@@H](CCC([O-])=O)C([O-])=O)[C@@H]1CCC2=O,569
C[C@]12CC[C@H]3[C@@H](CCc4cc(OC(=O)c5ccccc5)ccc34)[C@@H]1CC[C@@H]2OCCCOP([O-])(=O)N[C@@H](CCC([O-])=O)C([O-])=O,572
OC(=O)CCC(CCS)C(O)=O,580
CC(C)C[C@H](NC(=O)O[C@H](CCC(O)=O)C(O)=O)C(O)=O,630
NC(=O)C(CCCS)Cc1cccc(c1)C(O)=O,640
CC(=O)Nc1ccc(cc1)C(=O)NCCCC[C@@H](OC=O)OC(=O)N[C@@H](CCC(O)=O)C(O)=O,660
[O-]C(=O)CC[C@H](NP([O-])(=O)OC[C@@H](NC(=O)c1ccccc1)C([O-])=O)C([O-])=O,700
COC(=O)C(CCCS)Cc1cccc(c1)C(O)=O,730
N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O,750
[O-]C(=O)CC[C@H](NP([O-])(=O)OCC(CCc1ccccc1)C([O-])=O)C([O-])=O,790
OC(=O)CC[C@H](NC(=O)\C=C\C(O)=O)C(O)=O,800
OC(=O)c1ccccc1CCS,930
ONC(=O)CCCC(CCC(O)=O)C(O)=O,940
OC(=O)CC[C@H](NC(=O)NCC[C@@H](NC(=O)CCCCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,1000
OC(=O)CC[C@H](NC(=O)NCC[C@@H](NC(=O)CCCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,1000
OC(=O)CC[C@H](NC(=O)NCC[C@@H](NC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,1000
OC(=O)CC[C@H](NC(=O)NC[C@H](NC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,1000
OC(=O)CC[C@H](NC(=O)N[C@H](CCCCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,1000
OC(=O)CC[C@H](NC(=O)NC[C@H](NC(=O)CCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,1000
OC(=O)CC[C@H](NC(=O)NC[C@H](NC(=O)CCCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,1000
OC(=O)CC[C@H](NC(=O)NCC[C@@H](NC(=O)CCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,1000
OC(=O)CCC(CCCCS)C(O)=O,1100
OC(=O)C(CCS)Cc1cccc(c1)C(O)=O,1100
ONC(=O)CCC(CCC(O)=O)C(O)=O,1200
OC(=O)CCC(CCP(O)(O)=O)C(O)=O,1200
OC(=O)c1[nH]c2ccccc2c1CCS,1200
ONC(=O)CCC(CCC(O)=O)C(O)=O,1200
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccc(F)cc1)C(O)=O)C(O)=O,1200
CNC(=O)c1ccc(cc1)C(=O)NCCCC[C@@H](OC=O)OC(=O)N[C@@H](CCC(O)=O)C(O)=O,1300
OC(=O)CC[C@H](NP(O)(=O)O[C@@H]1C[C@H](N(C1)C(=O)CC[C@H](NC(=O)CCCCCNC(=O)c1ccc(F)cc1)C(O)=O)C(O)=O)C(O)=O,1300
OC(=O)c1cccc(CS)c1,1300
OC(=O)CC[C@H](NP(O)(=O)OCCC[C@H](NC(=O)CC[C@H](NC(=O)c1ccc(F)cc1)C(O)=O)C(O)=O)C(O)=O,1300
NCc1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)Cc2cccc(c2)C(O)=O)cc1,1340
